('ἀνθʼ', 'ἀντί')
('ἐφʼ', 'ἐπί')
('καθʼ', 'κατά')
('ἐπʼ', 'ἐπί')
('παρʼ', 'παρά')
('διʼ', 'διά')
('ἀπʼ', 'ἀπό')
('ἀφʼ', 'ἀπό')
('ἀλλʼ', 'ἀλλά')
('κατʼ', 'κατά')
('ὑπʼ', 'ὑπό')
('δʼ', 'δέ')
('ἀντʼ', 'ἀντί')
('οὐδʼ', 'οὐδέ')
('μετʼ', 'μετά')
('τʼ', 'τε')
('θʼ', 'τε')
('ποτʼ', 'ποτε')
('ὑφʼ', 'ὑπό')
('οὔτʼ', 'οὔτε')
('γʼ', 'γε')
('ἐνθάδʼ', 'ἐνθάδε')
('οἶδʼ', 'οἶδα')
('αὖτʼ', 'αὖτε')
('ἔνθʼ', 'ἔνθα')
('ὅτʼ', 'ὅτε')
('ἐόντʼ', 'εἰμί')
('ἔστʼ', 'ἔστε')
('μηδʼ', 'μηδέ')
('Ταλθύβιʼ', 'Ταλθύβιος')
('φῶτʼ', 'φώς')
('γένοιτʼ', 'γίγνομαι')
('ἄρʼ', 'ἄρα')
('γέρονθʼ', 'γέρων')
('μήποτʼ', 'μήποτε')
('ἔργʼ', 'ἔργον')
('τόδʼ', 'ὅδε')
('ἔνευσʼ', '_')
('ἕρδʼ', 'ἔρδω')
('ταῦτʼ', 'οὗτος')
('τινʼ', 'τις')
('ἀμφʼ', 'ἀμφί')
('ἐμάχοντʼ', 'μάχομαι')
('δέκʼ', 'δέκ’')
('εἵπετʼ', 'ἕπομαι')
('μεθʼ', 'μετά')
('ἄνδρʼ', 'ἀνήρ')
('ἀνʼ', 'ἀνά')
('σάμβαλʼ', 'σάμβαλον')
('χθόνʼ', 'χθών')
('ἵνʼ', 'ἵνα')
('μʼ', 'ἐγώ')
('τάχʼ', 'τάχα')
('ὅδʼ', 'ὅδε')
('εἴμʼ', 'εἰμί')
('τάδʼ', 'ὅδε')
('μνάματʼ', 'μνῆμα')
('ᾤκισʼ', '_')
('τέρμαθʼ', 'τέρμα')
('ῥῖψʼ', 'ῥίπτω')
('ἕστηκʼ', 'ἵστημι')
('Λύσανδρʼ', 'Λύσανδρος')
('θάψʼ', 'θάπτω')
('τάνδʼ', 'ὅδε')
('εἰκόνʼ', 'εἰκών')
('τιμᾶθʼ', 'τιμάω')
('ὄνομʼ', 'ὄνομα')
('δύʼ', 'δυάς')
('Ἴσθμιʼ', '_')
('ἄγαλμʼ', 'ἀγάλλω')
('ὅστʼ', 'ὅστε')
('ἅμʼ', 'ἅμα')
('θῆκʼ', 'τίθημι')
('εἴτʼ', 'εἴτε')
('σʼ', 'σύ')
('δῶρʼ', 'δῶρον')
('μέλαινʼ', 'μέλας')
('πατρίδʼ', 'πατρίς')
('Ἀρκάδʼ', 'Ἀρκάς')
('Γαῖʼ', '_')
('δέδμηθʼ', 'δαμάζω')
('ποθʼ', 'ποτή')
('νάσσασθʼ', 'ναίω')
('τοῦδʼ', 'ὅδε')
('ἕσπετʼ', 'ἕπομαι')
('κράντορʼ', 'κράντωρ')
('πατέρʼ', 'πατήρ')
('ἔμελλʼ', 'μέλλω')
('ἠδʼ', 'ἠδέ')
('ὀλέσωσʼ', '_')
('πᾶσʼ', 'πᾶσʼ')
('μειλίγματʼ', 'μείλιγμα')
('κʼ', 'ἄν')
('ἐννεσίῃσʼ', '_')
('τοιαῦτʼ', 'τοιοῦτος')
('ἕνεχʼ', 'ἕνεκα')
('φεῦγʼ', 'φεύγω')
('ὄψʼ', 'ὄψε')
('ὅσʼ', 'ὅσος')
('γένεθʼ', 'γίγνομαι')
('ἤλυθʼ', 'ἔρχομαι')
('αὐτίκʼ', 'αὐτίκα')
('τεκτάνατʼ', 'τεκταίνομαι')
('ἐξύπερθʼ', 'ἐξύπερθε')
('τότʼ', 'τότε')
('ἅδʼ', 'ὅδε')
('τῷδʼ', 'ὅδε')
('οἶκόνδʼ', '_')
('ῥʼ', 'ἄρα')
('μάλʼ', 'μάλα')
('εὖτʼ', 'εὖτε')
('ἔσσετʼ', 'εἰμί')
('πόλλʼ', 'πολύς')
('φαίνοιτʼ', 'φαίνω')
('μάλιστʼ', 'μάλα')
('αἵδʼ', 'ὅδε')
('πειρῷντʼ', 'πειράω')
('‘', '‘')
('ʼ', '_')
('τοῖσδʼ', 'ὅδε')
('πώποτʼ', 'πώποτε')
('ὥστʼ', 'ὥστε')
('ἐλύοντʼ', 'ἐλύω')
('ἆρʼ', 'ἆρα')
('οὔθʼ', 'οὔτε')
('μήθʼ', 'μήτε')
('ἡμέτερʼ', 'ἡμέτερος')
('τοῦτʼ', 'οὗτος')
('μήτʼ', 'μήτε')
('ἄλλʼ', 'ἄλλος')
('τάχιστʼ', 'ταχύς')
('μνῆμʼ', 'μνῆμα')
('τἆλλʼ', 'ἄλλος')
('ἕπεσθʼ', '_')
('πλεῖστʼ', 'πλεῖστος')
('μέμψαιτʼ', 'μέμφομαι')
('ἥκιστʼ', 'ἥκιστος')
('ἔπειθʼ', 'πείθω')
('ἀγωνίσαιτʼ', 'ἀγωνίζομαι')
('ὧδʼ', 'ὧδε')
('ὠφελούμεθʼ', 'ὠφελέω')
('ἄγεθʼ', 'ἄγε')
('μνήσασθʼ', 'μιμνήσκω')
('ἐλάχιστʼ', 'ἐλάχιστος')
('οἷʼ', 'ἵημι')
('ποιοῦντασʼ', '_')
('τῇδʼ', 'ὅδε')
('οὐκέτʼ', 'οὐκέτι')
('μέγιστʼ', 'μέγας')
('ἔπειτʼ', 'ἔπειτα')
('οἴκαδʼ', 'οἴκαδε')
('παυοίμεθʼ', 'παύω')
('ἡγούμεθʼ', 'ἡγέομαι')
('τράποιντʼ', 'τραπέω')
('τοσῶνδʼ', 'τοσόσδε')
('ἥδʼ', 'ὅδε')
('ἐπιθοίμεθʼ', 'ἐπιθέω')
('ξύμπαντʼ', 'σύμπας')
('οἵδʼ', 'ὅδε')
('δυναίμεθʼ', 'δύναμαι')
('οὐκέθʼ', 'οὐκέτι')
('ὥσθʼ', 'ὥστε')
('κάλλιστʼ', 'καλός')
('παῖδʼ', 'παῖς')
('τριάκοντʼ', 'τριάκοντ’')
('βοηθήσατʼ', 'βοηθέω')
('χρήματʼ', 'χρῆμα')
('ἐπεθύμησʼ', '_')
('ἄξιʼ', 'ἄγω')
('προσεποιεῖτʼ', 'προσποιέω')
('τίνʼ', 'τίς')
('τάλαντʼ', 'τάλαντον')
('κατέστησʼ', 'καθίστημι')
('ἀφίκεθʼ', 'ἀφικνέομαι')
('ἀφῃρεῖτʼ', 'ἀφαιρέω')
('ᾐσχύνετʼ', 'αἰσχύνω')
('χρήμαθʼ', 'χρῆμα')
('Πασίωνʼ', '_')
('σφόδρʼ', 'σφόδρα')
('ᾐτιᾶτʼ', 'αἰτιάομαι')
('ταῦθʼ', 'οὗτος')
('ἐλθόνθʼ', 'ἔρχομαι')
('ὅντινʼ', 'ὅστις')
('ἡμιόλιʼ', 'ἡμιόλιος')
('ἔμʼ', 'ἐγώ')
('ἅπανθʼ', 'ἅπας')
('ἐποιησάμεθʼ', 'ποιέω')
('ἐγένετʼ', 'γίγνομαι')
('κελεύσατʼ', 'κελεύω')
('ἀφῆκʼ', 'ἀφήκω')
('βούλοιτʼ', 'βούλομαι')
('κἀκεῖνʼ', 'ἐκεῖνος')
('τηνικαῦτʼ', 'τηνικαῦτα')
('ὄντʼ', 'ὄντʼ')
('οἴεσθʼ', 'οἴομαι')
('ἐπίστησθʼ', 'ἐπίσταμαι')
('ἐχρυσώνησʼ', '_')
('ἐγένεθʼ', 'γίγνομαι')
('ἄριστʼ', 'ἄριστος')
('προσέπεμψʼ', 'προσπέμπω')
('ἐναντίʼ', 'ἐναντίος')
('ἀφῃρεῖθʼ', 'ἀφαιρέω')
('ἅττʼ', 'ὅστις')
('ἐκεῖσʼ', 'ἐκεῖσε')
('ἐδεῖτʼ', 'δεῖ')
('ἐκεῖνʼ', 'ἐκεῖνος')
('ἐπίστασθʼ', 'ἐπίσταμαι')
('κάκιστʼ', 'κακός')
('ἄρισθʼ', 'ἀριστάω')
('τηλικαῦθʼ', 'τηλικοῦτος')
('ἔχονθʼ', 'ἔχω')
('τοῦθʼ', 'οὗτος')
('συμβαίνοντʼ', 'συμβαίνω')
('μηδέποτʼ', 'μηδέποτε')
('τοιαῦθʼ', 'τοιοῦτος')
('ᾐσχύνοντʼ', 'αἰσχύνω')
('ἑβδομήκοντʼ', 'ἑβδομήκοντα')
('ἐπαυσάμεθʼ', 'ἐπαύω')
('εἶτʼ', 'εἶτα')
('ὅθʼ', 'ὅτι')
('θάτερʼ', 'ἕτερος')
('ἔχοιμʼ', 'ἔχω')
('τρίʼ', 'τρεῖς')
('πάντʼ', 'πᾶς')
('δύναιτʼ', 'δύναμαι')
('οὐδεπώποτʼ', 'οὐδεπώποτε')
('μέγʼ', 'μέγας')
('πώποθʼ', 'πώποτε')
('σφέτερʼ', 'σφέτερος')
('μεγάλʼ', 'μέγας')
('οὐδέποτʼ', 'οὐδέποτε')
('τόθʼ', 'τόθι')
('λείποντʼ', 'λείπω')
('σῶμʼ', 'σῶμα')
('πεντήκοντʼ', 'πεντήκοντα')
('τριάκονθʼ', 'τριάκοντα')
('ἕνεκʼ', 'ἕνεκα')
('μηδένʼ', 'μηδείς')
('ἕλοιʼ', 'αἱρέω')
('δύναιʼ', 'δύναμαι')
('ἔσθʼ', 'εἰμί')
('μάλισθʼ', 'μάλα')
('δράσαντʼ', 'δράω')
('ἡγοῦντʼ', 'ἡγέομαι')
('ἐλπίδʼ', 'ἐλπίς')
('ἐσεμνύνατʼ', 'σεμνύνω')
('ἀντιστρατηγοῦντʼ', 'ἀντιστρατηγέω')
('εὑρήσεθʼ', 'εὑρίσκω')
('εἵλεθʼ', 'αἱρέω')
('ἐδημοκρατεῖσθʼ', 'δημοκρατέομαι')
('πρᾶγμʼ', 'πρᾶγμα')
('ποῖʼ', 'πόα')
('ἐποιήσαντʼ', 'ποιέω')
('πότʼ', 'ποτε')
('τέτταρʼ', 'τέσσαρες')
('ἔγκλημʼ', 'ἔγκλημα')
('προσόντʼ', 'πρόσειμι')
('ἔγνωτʼ', 'γιγνώσκω')
('τραύματʼ', 'τραῦμα')
('οὐδένʼ', 'οὐδείς')
('ἔγωγʼ', 'ἐγώ')
('βούλοιντʼ', 'βούλομαι')
('ἅπαντʼ', 'ἅπας')
('ἐθίζετʼ', 'ἐθίζω')
('ἥδιστʼ', 'ἡδύς')
('λέγονθʼ', 'λέγω')
('εἴθʼ', 'εἴθε')
('λυμήναιντʼ', 'λυμαίνομαι')
('δοκοῦντʼ', 'δοκέω')
('οἶσθʼ', 'οἶδα')
('δεῦρʼ', 'δεῦρο')
('ἐνταῦθʼ', 'ἐνταῦθα')
('πράγματʼ', 'πρᾶγμα')
('πεισόμεθʼ', 'πάσχω')
('μέμνησθʼ', 'μιμνήσκω')
('τετταράκοντʼ', 'τεσσαράκοντα')
('τάλανθʼ', 'τάλαντον')
('ἑξήκοντʼ', 'ἑξήκοντα')
('ἀπεστείλατʼ', 'ἀποστέλλω')
('ἀφεῖτʼ', 'ἀφίημι')
('πραχθέντʼ', 'πράσσω')
('χρησόμεθʼ', 'χράω')
('θεάσασθʼ', 'θεάομαι')
('ἔσεσθʼ', 'εἰμί')
('διέκειθʼ', 'διάκειμαι')
('παράσχητʼ', 'παρέχω')
('γράψονθʼ', 'γράφω')
('ἴσθʼ', 'οἶδα')
('βέλτισθʼ', 'βέλτιστος')
('ἔτʼ', 'ἔτι')
('βέλτιστʼ', 'βέλτιστος')
('ψήφισμʼ', 'ψήφισμα')
('ψηφίσματʼ', 'ψήφισμα')
('πόθʼ', 'ποθή')
('πράξετʼ', 'πράσσω')
('χωρίʼ', 'χωρίον')
('ποιεῖτʼ', 'ποιέω')
('πάνθʼ', 'πᾶς')
('ἁθροίσαντʼ', 'ἀθροίζω')
('συναμφότερʼ', 'συναμφότεροι')
('φήμʼ', 'φημί')
('παρόντʼ', 'πάρειμι')
('ὁρᾶτʼ', 'ὁρατός')
('δυνήσεσθʼ', 'δύναμαι')
('εἰμʼ', 'εἰμί')
('ὑμέτερʼ', 'ὑμέτερος')
('σκέψασθʼ', 'σκέπτομαι')
('κεφάλαιʼ', 'κεφάλαιος')
('ἐχαρίζονθʼ', 'χαρίζομαι')
('τρόπαιʼ', 'τρόπαιʼ')
('ἐπράττετʼ', 'πράσσω')
('ἐκτήσαντʼ', 'κτάομαι')
('ἐπάγουσʼ', '_')
('ὁποῖʼ', 'ὁποῖος')
('φρόνημʼ', 'φρόνημα')
('Δήμητρʼ', 'Δημήτηρ')
('θαυμάσαιμʼ', 'θαυμάζω')
('κτήσαισθʼ', 'κτάομαι')
('τοσαῦτʼ', 'τοσοῦτος')
('δέοιθʼ', 'δεῖ')
('εἴρηχʼ', 'ἐρῶ')
('ἕλοισθʼ', 'αἱρέω')
('συμβουλεύσαιμʼ', 'συμβουλεύω')
('χειροτονεῖθʼ', 'χειροτονέω')
('ἐλέγετʼ', 'λέγω')
('ταὔτʼ', 'ταὐτός')
('καταγνῶθʼ', 'καταγιγνώσκω')
('περιμείνηθʼ', 'περιμένω')
('εὕρημʼ', 'εὕρημα')
('λάβητʼ', 'λαμβάνω')
('σώματʼ', 'σῶμα')
